Country,City,AQI Category,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,SO2,Continent
Philippines,Tacloban,Moderate,1,23,0,64,2,Asia
日本,Tadotsu,Good,1,45,1,26,3,Asia
Japan,Tahara,Good,1,44,1,19,5,Asia
United States of America,Tamarac,Unhealthy,4,4,18,150,2,North America
France,Tarnos,Moderate,1,45,1,60,2,Europe
Germany,Tauberbischofsheim,Moderate,1,34,3,52,1,Europe
United States of America,Taylorville,Moderate,1,37,6,57,1,North America
Mexico,Tecuala,Moderate,1,12,1,54,0,North America
Mexico,Tejupilco,Moderate,2,4,6,67,3,North America
United States of America,Tempe,Moderate,1,12,20,52,1,North America
United States of America,Temple Terrace,Moderate,1,10,20,73,1,North America
Mexico,Tenancingo,Unhealthy,4,0,15,224,5,North America
Italia,Ternate,Good,1,16,0,22,0,Europe
Italia,Ternate,Good,1,16,0,22,5,Europe
United States of America,Terrell,Moderate,1,20,4,60,1,North America
United States of America,The Colony,Moderate,1,17,6,71,2,North America
France,Thouars,Good,1,30,2,26,0,Europe
Mexico,Tijuana,Moderate,2,20,17,59,3,North America
India,Tinsukia,Good,1,27,0,40,3,Asia
CÃ´te d'Ivoire,Touba,Good,1,14,0,29,0,Africa
CÃ´te d'Ivoire,Touba,Good,1,14,0,29,0,Africa
France,Tournefeuille,Good,1,29,2,31,1,Europe
Greece,Tripoli,Good,1,44,0,30,4,Europe
Greece,Tripoli,Good,1,44,0,30,4,Europe
Peru,Trujillo,Good,1,16,2,47,1,South America
Peru,Trujillo,Good,1,16,2,47,1,South America
Peru,Trujillo,Good,1,16,2,47,1,South America
Peru,Trujillo,Good,1,16,2,47,1,South America
Peru,Trujillo,Good,1,16,2,47,1,South America
Czechia,Turnov,Moderate,1,26,3,63,1,Europe
Russian Federation,Tutayev,Good,1,28,2,35,1,Europe
United States of America,Universal City,Good,1,18,2,31,1,North America
Philippines,Urdaneta,Moderate,1,26,1,77,2,Asia
Finland,Uusikaupunki,Good,1,28,1,5,1,Europe
Ukraine,Uzhhorod,Moderate,1,41,1,68,2,Europe
Italy,Varedo,Moderate,1,43,2,78,2,Europe
