Country,City,AQI Category,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,SO2,Continent
Russian Federation,Praskoveya,Moderate,1,36,0,51,1,Europe
Brazil,Presidente Dutra,Good,1,5,1,41,1,South America
Brazil,Presidente Dutra,Good,1,5,1,41,0,South America
Italy,Priolo Gargallo,Moderate,1,39,2,66,1,Europe
Poland,Przasnysz,Good,1,34,0,20,1,Europe
United States of America,Punta Gorda,Moderate,1,14,11,54,0,North America
United States of America,Punta Gorda,Moderate,1,14,11,54,0,North America
Belgium,Puurs,Moderate,1,29,7,64,4,Europe
Russian Federation,Pyatigorsk,Moderate,1,41,1,54,1,Europe
China,Qinzhou,Moderate,2,68,1,58,5,Asia
Netherlands,Raalte,Good,1,24,6,41,1,Europe
France,Raismes,Moderate,1,30,4,59,2,Europe
Italy,Ramacca,Moderate,1,47,0,55,1,Europe
United States of America,Phoenix,Moderate,1,4,23,72,2,North America
Poland,Piaseczno,Good,1,28,2,28,2,Europe
Brazil,Pinheiral,Unhealthy,5,0,13,154,7,South America
Colombia,Plato,Moderate,1,16,2,67,0,South America
Romania,Poiana Mare,Moderate,1,37,1,62,3,Europe
Russian Federation,Polevskoy,Good,1,31,0,17,0,Europe
France,Pontarlier,Moderate,1,35,0,56,0,Europe
United States of America,Pontiac,Moderate,2,22,15,77,2,North America
United States of America,Pontiac,Moderate,2,22,15,77,2,North America
Indonesia,Pontianak,Good,1,15,0,44,1,Asia
Brazil,Porecatu,Good,1,9,2,30,1,South America
Finland,Pori,Good,1,30,1,15,1,Europe
South Africa,Port Elizabeth,Moderate,3,18,5,79,3,Africa
United States of America,Port Neches,Good,1,19,7,34,3,North America
United Kingdom of Great Britain and Northern Ireland,Port Talbot,Moderate,1,20,5,51,1,Europe
United States of America,Portales,Moderate,1,34,0,77,1,North America
United States of America,Post Falls,Moderate,1,32,3,61,1,North America
Brazil,Pouso Alegre,Good,1,7,2,32,1,South America
Russian Federation,Dalnegorsk,Good,0,29,0,25,2,Europe
India,Darbhanga,Unhealthy,3,162,1,247,5,Asia
United States of America,Dayton,Good,1,32,7,45,3,North America
United States of America,Dayton,Good,1,32,7,45,3,North America
United States of America,Dayton,Good,1,32,7,45,3,North America
Belgium,Deinze,Good,1,25,3,36,1,Europe
Haiti,Delmas,Unhealthy,2,15,5,124,2,North America
United States of America,Deming,Moderate,1,26,2,72,1,North America
United Kingdom of Great Britain and Northern Ireland,Denton,Moderate,0,32,1,55,2,Europe
United Kingdom of Great Britain and Northern Ireland,Denton,Moderate,0,32,1,55,2,Europe
United States of America,Destin,Good,0,31,0,25,2,North America
India,Dharmapuri,Moderate,1,31,1,60,3,Asia
Philippines,Dipolog,Good,1,17,0,30,0,Asia
Latvia,Dobele,Good,1,34,0,44,1,Europe
United States of America,Grandville,Good,1,37,4,47,1,North America
Netherlands,Grave,Good,0,32,2,37,1,Europe
United States of America,Green Valley,Good,1,14,8,44,6,North America
United States of America,Green Valley,Good,1,14,8,44,6,North America
United States of America,Greendale,Moderate,2,14,24,58,1,North America
Colombia,Guamo,Moderate,3,3,6,89,0,South America
Italy,Guardiagrele,Moderate,2,38,7,52,1,Europe
United Kingdom of Great Britain and Northern Ireland,Guildford,Moderate,1,25,6,51,1,Europe
Russian Federation,Gukovo,Good,1,38,0,13,1,Europe
United States of America,Hazelwood,Moderate,2,11,20,88,1,North America
Germany,Heddesheim,Moderate,1,31,3,54,1,Europe
Germany,Heiligenhaus,Good,1,28,3,44,2,Europe
United Kingdom of Great Britain and Northern Ireland,Hemel Hempstead,Moderate,1,26,6,51,1,Europe
United States of America,Hicksville,Moderate,2,15,23,67,4,North America
Germany,Haiger,Good,1,25,3,49,1,Europe
China,Hangzhou,Unhealthy,5,203,5,151,28,Asia
Germany,Harrislee,Good,0,32,0,35,0,Europe
United States of America,Harrison,Moderate,1,25,2,90,2,North America
United States of America,Harrison,Moderate,1,25,2,90,2,North America
United States of America,Harrison,Moderate,1,25,2,90,2,North America
United States of America,Harrison,Moderate,1,25,2,90,2,North America
United States of America,Harrison,Moderate,1,25,2,90,2,North America
United States of America,Harrison,Moderate,1,25,2,90,2,North America
Germany,Hasbergen,Good,0,34,1,36,1,Europe
France,Haubourdin,Good,1,28,4,48,4,Europe
United States of America,Taunton,Good,1,28,10,41,1,North America
United States of America,Taunton,Good,1,28,10,41,1,North America
New Zealand,Tauranga,Good,0,19,1,17,0,Oceania
Italy,Teano,Good,1,47,1,36,1,Europe
India,Tekkali,Unhealthy,3,82,1,155,9,Asia
Brazil,Teodoro Sampaio,Good,1,9,1,46,1,South America
Mexico,Tequila,Moderate,1,15,2,64,2,North America
Italy,Teramo,Good,1,44,1,38,1,Europe
China,Tianjin,Unhealthy,4,113,9,142,7,Asia
Philippines,Toboso,Moderate,1,20,0,54,1,Asia
Japan,Tokorozawa,Moderate,1,44,3,60,5,Asia
Mexico,Toluca,Unhealthy,4,8,19,166,3,North America
Brazil,Itapissuma,Good,0,23,1,27,0,South America
Brazil,Itarantim,Good,1,7,1,23,0,South America
Brazil,Itumbiara,Good,1,13,0,31,1,South America
El Salvador,Izalco,Moderate,2,22,9,90,2,North America
Russian Federation,Izberbash,Moderate,1,38,0,51,1,Europe
India,Jabalpur,Unhealthy,1,38,0,170,2,Asia
Brazil,Jaguaquara,Good,0,9,1,22,0,South America
Poland,Jarocin,Good,1,27,2,47,1,Europe
Philippines,Jasaan,Moderate,1,32,0,59,1,Asia
Nigeria,Ilobu,Unhealthy,4,23,3,133,1,Africa
Finland,Imatra,Good,1,29,1,7,1,Europe
Brazil,Indaial,Moderate,2,2,8,73,1,South America
Philippines,Indang,Good,0,24,0,50,5,Asia
Brazil,Itagi,Good,0,9,1,25,0,South America
Nigeria,Iseyin,Moderate,3,18,2,90,1,Africa
Mexico,Isla,Moderate,2,26,3,81,1,North America
Brazil,Itaitinga,Good,0,20,1,29,0,South America
Brazil,Itapemirim,Good,1,16,1,44,2,South America
South Sudan,Torit,Moderate,1,12,0,65,0,Africa
United States of America,Trenton,Moderate,1,28,10,53,3,North America
United States of America,Trenton,Moderate,1,28,10,53,3,North America
United States of America,Trenton,Moderate,1,28,10,53,3,North America
United States of America,Trujillo Alto,Moderate,0,23,0,56,1,North America
Ireland,Tullamore,Moderate,1,26,3,57,3,Europe
Turkey,Tunceli,Moderate,0,35,0,62,2,Asia
United States of America,Two Rivers,Good,1,27,4,49,1,North America
Russian Federation,Tyukalinsk,Good,1,34,0,32,4,Europe
India,Umaria,Unhealthy,2,92,0,163,4,Asia
United States of America,Willowbrook,Unhealthy,4,3,36,126,11,North America
United States of America,Willowbrook,Unhealthy,4,3,36,126,1,North America
United States of America,Wilmette,Moderate,2,9,22,63,2,North America
United States of America,Wolf Trap,Moderate,2,27,10,53,6,North America
United States of America,Woodhaven,Moderate,2,38,10,86,4,North America
China,Xushan,Unhealthy,2,44,4,112,20,Asia
China,Yancheng,Unhealthy,3,155,2,151,2,Asia
Democratic Republic of the Congo,Yangambi,Unhealthy,4,24,0,121,1,Africa
China,Yanji,Moderate,2,48,0,69,0,Asia
United States of America,Yankton,Good,1,34,3,47,0,North America
Germany,Wenden,Moderate,1,34,4,69,2,Europe
Belgium,Wetteren,Moderate,1,32,6,64,2,Europe
Canada,Whitehorse,Good,1,20,1,10,0,North America
Ireland,Wicklow,Good,1,30,3,38,1,Europe
Switzerland,Wil,Moderate,1,27,3,59,1,Europe
Germany,Wildeshausen,Moderate,1,30,5,67,1,Europe
United States of America,Williamsport,Moderate,2,13,16,75,4,North America
United States of America,Fox Lake,Moderate,2,18,21,60,1,North America
Denmark,Frederikssund,Good,1,36,0,25,1,Europe
United States of America,Friendly,Good,1,30,8,41,8,North America
Germany,Fuldatal,Good,1,28,2,44,1,Europe
Japan,Furano,Good,1,26,1,29,0,Asia
China,Fuzhou,Unhealthy,3,168,5,99,23,Asia
China,Fuzhou,Unhealthy,3,168,5,99,23,Asia
United Kingdom of Great Britain and Northern Ireland,Galashiels,Good,1,25,3,23,1,Europe
Germany,Gangelt,Good,1,26,4,41,2,Europe
Germany,Garbsen,Good,0,33,1,36,3,Europe
Cameroon,Garoua,Moderate,2,12,0,59,0,Africa
Netherlands,Geertruidenberg,Good,0,33,2,35,1,Europe
Australia,Geraldton,Good,0,29,0,13,0,Oceania
Germany,Germersheim,Moderate,1,29,3,51,2,Europe
Colombia,Girardot,Unhealthy,4,9,6,103,0,South America
United Kingdom of Great Britain and Northern Ireland,Golborne,Good,1,30,4,35,1,Europe
Portugal,Gondomar,Good,0,27,2,21,2,Europe
Portugal,Gondomar,Good,0,27,2,21,2,Europe
India,Govindgarh,Unhealthy,1,45,0,307,9,Asia
United States of America,Hoffman Estates,Moderate,2,26,16,61,3,North America
United States of America,Holly Springs,Good,1,42,2,37,3,North America
United States of America,Holly Springs,Good,1,42,2,37,3,North America
Germany,Holzminden,Good,0,32,1,42,1,Europe
Ethiopia,Huruta,Unhealthy,1,23,0,102,1,Africa
Italy,Iglesias,Moderate,1,53,1,64,1,Europe
Japan,Iizuka,Good,1,45,0,38,8,Asia
Japan,Suzu,Moderate,1,69,1,60,4,Asia
Hungary,Szeged,Good,1,41,1,50,1,Europe
Iran (Islamic Republic of),Tafresh,Unhealthy,2,125,1,82,1,Asia
Philippines,Tagaytay,Good,1,25,1,41,5,Asia
Japan,Tajimi,Moderate,1,34,3,52,3,Asia
Japan,Takahagi,Good,1,47,1,44,3,Asia
Japan,Takahashi,Good,1,36,3,34,4,Asia
Philippines,Talacogon,Good,1,19,0,37,1,Asia
Russian Federation,Taldom,Good,1,27,1,46,1,Europe
United States of America,Tamiami,Moderate,1,18,12,64,1,North America
Israel,Tamra,Moderate,2,52,8,92,2,Asia
Philippines,Tantangan,Good,1,20,0,35,1,Asia
Indonesia,Tarogong,Moderate,2,53,1,88,8,Asia
Turkey,Tatvan,Good,0,45,0,43,0,Asia
United Kingdom of Great Britain and Northern Ireland,Yeovil,Moderate,1,24,7,58,1,Europe
China,Yuanping,Unhealthy,2,35,5,143,5,Asia
China,Yuncheng,Unhealthy,2,36,8,187,7,Asia
Belgium,Zaventem,Moderate,1,29,6,58,4,Europe
Belgium,Zemst,Moderate,1,27,8,65,4,Europe
China,Zhaozhou,Moderate,2,66,0,73,2,Asia
China,Zhongshan,Moderate,3,33,9,98,6,Asia
China,Zhongshan,Moderate,3,33,9,98,6,Asia
China,Zhuji,Unhealthy,4,45,10,156,17,Asia
Mexico,Zinacantepec,Unhealthy,4,8,18,163,3,North America
Russian Federation,Zmeinogorsk,Good,1,35,0,21,1,Europe
Italy,Abbiategrasso,Moderate,1,37,4,69,2,Europe
C̫te d'Ivoire,Abidjan,Unhealthy,4,15,4,105,0,Africa
United States of America,Acworth,Moderate,2,37,8,64,3,North America
United States of America,Adelphi,Moderate,1,32,5,54,8,North America
United States of America,Alabaster,Moderate,1,18,10,80,3,North America
Russian Federation,Alagir,Good,1,36,1,50,1,Europe
Belgium,Alken,Good,1,25,3,35,1,Europe
Canada,Alma,Moderate,1,27,0,55,0,North America
Canada,Alma,Moderate,1,27,0,55,0,North America
Papua New Guinea,Alotau,Good,0,28,0,13,0,Oceania
Madagascar,Ambovombe,Good,0,26,0,20,0,Africa
China,Anqiu,Unhealthy,2,107,5,86,10,Asia
Madagascar,Antalaha,Good,0,22,0,20,0,Africa
United States of America,Antioch,Moderate,3,7,25,76,4,North America
United States of America,Antioch,Moderate,3,7,25,76,4,North America
Ghana,Apam,Unhealthy,2,14,1,104,1,Africa
Russian Federation,Arkadak,Good,1,28,1,15,1,Europe
Russian Federation,Arsk,Good,1,28,1,19,3,Europe
Armenia,Ashtarak,Good,1,29,1,39,1,Asia
Guatemala,Atescatempa,Unhealthy,3,5,10,104,2,North America
Italy,Atri,Moderate,1,40,3,57,1,Europe
United Kingdom of Great Britain and Northern Ireland,Ayr,Good,1,29,2,20,1,Europe
United Kingdom of Great Britain and Northern Ireland,Ayr,Good,1,29,2,20,1,Europe
Netherlands,Baarn,Good,0,34,1,26,1,Europe
Germany,Bad Langensalza,Good,0,30,1,32,1,Europe
Pakistan,Bahawalnagar,Unhealthy,1,38,1,466,3,Asia
Thailand,Ban Phai,Moderate,0,28,0,52,1,Asia
Philippines,Bangued,Good,0,23,0,27,2,Asia
Germany,Bargteheide,Good,0,28,2,38,1,Europe
United States of America,Bartlesville,Moderate,1,23,6,56,1,North America
Pakistan,Bat Khela,Unhealthy,1,117,1,78,5,Asia
Malaysia,Batu Gajah,Moderate,2,57,1,92,8,Asia
Italy,Castel Goffredo,Unhealthy,2,32,7,124,1,Europe
Italy,Catanzaro,Moderate,2,68,6,57,0,Europe
Philippines,Catbalogan,Moderate,1,26,0,68,1,Asia
Ecuador,Cayambe,Good,1,4,2,39,1,South America
Italy,Cesenatico,Good,1,36,5,38,1,Europe
Argentina,Chacabuco,Good,0,17,1,17,0,South America
Peru,Chachapoyas,Good,0,4,0,21,0,South America
China,Chaoyang,Unhealthy,3,119,1,151,5,Asia
Russian Federation,Cherepanovo,Good,1,38,0,35,0,Europe
Russian Federation,Cherkessk,Good,1,40,0,49,1,Europe
Mexico,Chilpancingo,Moderate,2,4,5,72,1,North America
United States of America,Cimarron Hills,Moderate,1,32,2,73,1,North America
Brazil,Coari,Good,1,2,0,46,0,South America
United Kingdom of Great Britain and Northern Ireland,Coatbridge,Good,1,12,9,35,1,Europe
Ireland,Cobh,Good,0,24,1,16,1,Europe
Brazil,Colatina,Good,1,14,2,45,1,South America
Dominican Republic,Comendador,Moderate,1,12,6,65,1,North America
Italy,Como,Unhealthy,1,34,4,112,1,Europe
Brazil,Conde,Good,0,19,0,11,1,South America
United Kingdom of Great Britain and Northern Ireland,Consett,Good,0,31,2,22,1,Europe
United States of America,Cooper City,Unhealthy,4,4,19,152,2,North America
United States of America,Copperas Cove,Good,1,21,1,31,0,North America
Argentina,Corrientes,Good,1,12,0,13,1,South America
Italy,Crevalcore,Unhealthy,2,28,9,103,1,Europe
Azerbaijan,Culfa,Moderate,1,35,0,52,0,Asia
Spain,Culleredo,Good,0,30,2,13,1,Europe
India,Cuncolim,Moderate,0,25,0,73,0,Asia
Brazil,Curvelo,Good,1,2,4,42,0,South America
Germany,Cuxhaven,Good,0,35,0,30,1,Europe
United States of America,Cypress Lake,Good,1,25,5,46,0,North America
Guinea,Dalaba,Moderate,2,13,0,63,2,Africa
France,Beaune,Good,1,26,1,39,0,Europe
United States of America,Bedford,Moderate,1,18,6,56,1,North America
United States of America,Bedford,Moderate,1,18,6,56,1,North America
United States of America,Bedford,Moderate,1,18,6,56,1,North America
United States of America,Bedford,Moderate,1,18,6,56,1,North America
United States of America,Bedford,Moderate,1,18,6,56,1,North America
United States of America,Bedford,Moderate,1,18,6,56,1,North America
United States of America,Bedford,Moderate,1,18,6,56,1,North America
Ghana,Begoro,Unhealthy,2,13,2,105,1,Africa
China,Beipiao,Moderate,2,90,1,93,3,Asia
Brazil,Bela Cruz,Good,0,22,0,45,0,South America
Bolivia (Plurinational State of),Bermejo,Moderate,1,8,1,54,1,South America
Germany,Bernburg,Good,0,29,2,36,1,Europe
United States of America,Berwick,Good,1,35,5,50,1,North America
India,Betma,Unhealthy,1,34,0,153,6,Asia
United States of America,Beverly,Good,1,36,5,48,1,North America
Russian Federation,Bezhetsk,Good,0,24,0,24,0,Europe
Pakistan,Bhalwal,Unhealthy,3,179,2,166,6,Asia
India,Bhiwandi,Unhealthy,1,26,1,151,6,Asia
Indonesia,Binjai,Moderate,2,45,0,92,3,Asia
Russian Federation,Baksan,Good,1,39,1,48,1,Europe
Colombia,Baranoa,Unhealthy,1,16,2,104,1,South America
Philippines,Baras,Moderate,1,27,1,51,5,Asia
Philippines,Baras,Moderate,1,27,1,51,5,Asia
Thailand,Nong Bua,Good,0,20,0,38,1,Asia
Netherlands,Noordwijkerhout,Good,1,27,5,41,1,Europe
United States of America,Northbridge,Good,1,46,2,47,5,North America
United Kingdom of Great Britain and Northern Ireland,Norwich,Good,0,29,3,18,0,Europe
United Kingdom of Great Britain and Northern Ireland,Norwich,Good,0,29,3,18,0,Europe
United Kingdom of Great Britain and Northern Ireland,Norwich,Good,0,29,3,18,0,Europe
Netherlands,Nuenen,Good,1,32,3,37,2,Europe
Chile,Nueva Imperial,Moderate,2,2,9,61,1,South America
Mexico,Nuevo Casas Grandes,Good,1,17,2,46,1,North America
United States of America,Oak Lawn,Moderate,2,13,27,79,2,North America
United States of America,Oakdale,Moderate,1,24,9,53,1,North America
United States of America,Oakdale,Moderate,1,24,9,53,1,North America
Japan,Odawara,Good,1,38,2,39,6,Asia
Republic of North Macedonia,Ohrid,Good,1,41,0,42,1,Europe
Poland,Olecko,Good,1,36,0,47,1,Europe
Germany,Olfen,Good,1,27,4,32,2,Europe
Brazil,Olindina,Good,0,6,1,25,1,South America
United States of America,Orem,Moderate,2,26,7,73,1,North America
United States of America,Orinda,Moderate,1,22,11,52,3,North America
Guatemala,Ostuncalco,Moderate,3,9,11,94,2,North America
Nigeria,Oyo,Moderate,2,22,1,80,1,Africa
Italy,Pachino,Good,1,45,0,48,1,Europe
India,Padra,Unhealthy,1,33,0,156,13,Asia
France,Paita,Good,0,27,0,10,5,Europe
Philippines,Palo,Moderate,1,20,0,55,2,Asia
China,Panshi,Moderate,3,32,2,76,4,Asia
Brazil,Paragominas,Good,1,2,0,36,0,South America
Peru,Paramonga,Good,1,18,1,41,1,South America
United States of America,Parkville,Moderate,1,44,4,56,8,North America
United States of America,Pasadena,Moderate,1,43,5,58,12,North America
United States of America,Pasadena,Moderate,1,43,5,58,12,North America
United States of America,Pasadena,Moderate,1,43,5,58,12,North America
United States of America,Pataskala,Good,1,32,7,45,2,North America
Kazakhstan,Pavlodar,Good,1,41,0,50,4,Asia
United States of America,Pelham,Good,1,46,2,31,2,North America
United States of America,Pelham,Good,1,46,2,31,2,North America
United States of America,Pelham,Good,1,46,2,31,2,North America
United States of America,Pelham,Good,1,46,2,31,3,North America
Mexico,Perote,Moderate,3,7,8,77,0,North America
Serbia,Petrovaradin,Moderate,1,33,1,63,2,Europe
Thailand,Phatthalung,Moderate,1,27,0,59,4,Asia
Thailand,Phetchaburi,Good,0,17,0,35,0,Asia
India,Phillaur,Unhealthy,2,111,1,391,9,Asia
Egypt,Rosetta,Moderate,2,60,3,55,1,Africa
Italy,Rossano,Good,1,48,0,12,1,Europe
Russian Federation,Rostov,Good,1,32,0,26,1,Europe
Russian Federation,Rostov,Good,1,32,0,26,1,Europe
United Kingdom of Great Britain and Northern Ireland,Royton,Moderate,0,32,1,56,2,Europe
Germany,Rudolstadt,Good,1,32,1,30,1,Europe
Czechia,Rumburk,Good,0,29,2,29,1,Europe
Malawi,Rumphi,Good,0,19,0,28,1,Africa
Brazil,Ruy Barbosa,Good,0,8,0,18,0,South America
Japan,Sakurai,Good,1,40,2,34,5,Asia
United Kingdom of Great Britain and Northern Ireland,Salford,Moderate,0,32,1,58,2,Europe
Brazil,Salvador,Good,0,16,1,30,0,South America
Brazil,Salvador,Good,0,16,1,30,0,South America
Turkey,Samsun,Good,1,36,0,30,2,Asia
Indonesia,Prabumulih,Good,1,30,0,49,2,Asia
Brazil,Presidente Prudente,Good,1,14,1,32,1,South America
United States of America,Prichard,Good,1,22,4,28,1,North America
Canada,Prince George,Good,1,21,1,13,2,North America
Peru,Pucallpa,Good,1,1,0,30,0,South America
Spain,Puertollano,Good,1,30,1,32,1,Europe
Israel,Qiryat Gat,Moderate,1,62,4,80,0,Asia
Chile,Quillota,Unhealthy,14,1,23,182,6,South America
India,Rafiganj,Unhealthy,1,60,0,284,4,Asia
United States of America,Rahway,Moderate,1,44,5,62,1,North America
India,Phulpur,Unhealthy,1,48,1,226,7,Asia
India,Phulpur,Unhealthy,1,48,1,226,7,Asia
Brazil,Picos,Good,0,12,0,16,0,South America
Brazil,Picos,Good,0,12,0,16,0,South America
Germany,Pirmasens,Good,1,27,2,30,1,Europe
United States of America,Plum,Moderate,2,26,12,55,11,North America
Italy,Policoro,Good,1,46,0,14,1,Europe
Sierra Leone,Port Loko,Good,1,16,0,48,2,Africa
United States of America,Poughkeepsie,Good,1,43,2,39,1,North America
United States of America,Randallstown,Moderate,1,44,4,52,8,North America
Thailand,Ranong,Good,0,16,0,36,0,Asia
Germany,Rathenow,Good,0,39,0,23,1,Europe
Russian Federation,Reutov,Moderate,1,25,9,58,8,Europe
United States of America,Richardson,Moderate,1,21,6,56,2,North America
United States of America,Richmond,Moderate,2,15,17,76,3,North America
United States of America,Richmond,Moderate,2,15,17,76,3,North America
United States of America,Richmond,Moderate,2,15,17,76,3,North America
United States of America,Richmond,Moderate,2,15,17,76,3,North America
United States of America,Richmond,Moderate,2,15,17,76,3,North America
United States of America,Richmond,Moderate,2,15,17,76,3,North America
United States of America,Richmond,Moderate,2,15,17,76,3,North America
United States of America,Richmond,Moderate,2,15,17,76,3,North America
United States of America,Richmond,Moderate,2,15,17,76,3,North America
United States of America,Richmond,Moderate,2,15,17,76,3,North America
Peru,Rioja,Good,1,3,0,25,0,South America
France,Riom,Good,1,30,1,40,0,Europe
Italy,Rocca Priora,Good,1,47,2,27,1,Europe
France,Rodez,Good,1,31,1,42,0,Europe
Philippines,Romblon,Good,1,23,0,50,0,Asia
United States of America,Daly City,Moderate,1,18,13,62,3,North America
Brazil,Delmiro Gouveia,Good,0,9,1,25,0,South America
Russian Federation,Desnogorsk,Good,1,34,0,10,0,Europe
Turkey,Develi,Good,1,29,0,46,1,Asia
Ukraine,Dniprorudne,Good,1,39,0,12,0,Europe
Benin,Dogbo,Unhealthy,3,18,2,101,1,Africa
United States of America,Dumas,Moderate,1,22,3,60,1,North America
United States of America,Dyersburg,Moderate,1,24,5,93,1,North America
United States of America,Eatontown,Good,1,28,8,25,1,North America
United States of America,El Campo,Good,1,22,1,39,0,North America
United States of America,Ellicott City,Good,1,27,10,44,7,North America
Japan,Ena,Good,1,42,0,12,2,Asia
Italy,Giussano,Moderate,1,32,4,62,2,Europe
United Kingdom of Great Britain and Northern Ireland,Glenrothes,Good,1,22,6,35,1,Europe
United Kingdom of Great Britain and Northern Ireland,Glossop,Good,1,25,3,27,1,Europe
Namibia,Gobabis,Good,0,18,0,19,0,Africa
India,Gobindpur,Unhealthy,1,51,1,175,6,Asia
Spain,Godella,Good,1,33,1,28,2,Europe
Brazil,Goiatuba,Good,1,3,3,37,0,South America
Netherlands,Goirle,Good,0,30,2,27,1,Europe
United States of America,Golden Glades,Moderate,1,10,16,61,1,North America
Albania,Gramsh,Moderate,1,39,1,68,1,Europe
United States of America,Granger,Moderate,2,21,11,57,1,North America
United States of America,Grants Pass,Good,1,29,2,27,0,North America
France,Granville,Good,1,30,3,25,6,Europe
Mexico,Guasave,Good,1,22,1,35,1,North America
Germany,Guben,Good,1,21,4,37,1,Europe
Cameroon,Guider,Moderate,3,8,1,76,1,Africa
China,Guilin,Moderate,3,46,3,90,4,Asia
France,Guipavas,Good,1,26,9,34,1,Europe
United States of America,Fort Walton Beach,Moderate,1,30,1,65,2,North America
France,Fosses,Good,0,28,2,29,1,Europe
United States of America,Fountain Hills,Good,1,27,8,37,1,North America
United States of America,Fountain,Moderate,1,29,3,72,0,North America
Brazil,Francisco Morato,Unhealthy,7,0,21,169,1,South America
Germany,Freiberg,Good,1,25,3,36,1,Europe
United States of America,Front Royal,Good,1,37,2,46,4,North America
Germany,Gaggenau,Good,0,29,2,26,2,Europe
Israel,Gan Yavne,Moderate,1,43,6,77,2,Asia
Italy,Gela,Moderate,1,38,2,53,2,Europe
Netherlands,Gennep,Good,0,25,3,30,2,Europe
Germany,Genthin,Good,0,30,1,31,2,Europe
Guyana,Georgetown,Good,0,19,0,27,5,South America
Guyana,Georgetown,Good,0,19,0,27,5,South America
Guyana,Georgetown,Good,0,19,0,27,5,South America
Guyana,Georgetown,Good,0,19,0,27,5,South America
Guyana,Georgetown,Good,0,19,0,27,5,South America
Guyana,Georgetown,Good,0,19,0,27,5,South America
Germany,Gera,Good,0,28,2,30,1,Europe
United States of America,Lake Jackson,Good,0,24,2,25,1,North America
United States of America,Lakeside,Moderate,2,22,14,57,1,North America
United States of America,Lakeside,Moderate,2,22,14,57,1,North America
United States of America,Lakeside,Moderate,2,22,14,57,1,North America
Thailand,Lam Luk Ka,Moderate,1,28,1,66,7,Asia
Netherlands,Leusden,Good,0,33,1,26,2,Europe
United Kingdom of Great Britain and Northern Ireland,Lewes,Good,1,12,13,37,1,Europe
Philippines,Lianga,Good,1,20,0,50,1,Asia
France,Libourne,Good,1,26,2,46,0,Europe
Czechia,Litovel,Good,1,24,2,49,1,Europe
Belgium,Lokeren,Good,0,31,2,31,1,Europe
Belgium,Londerzeel,Good,0,29,3,34,1,Europe
Senegal,Louga,Unhealthy,2,21,3,176,0,Africa
Poland,Lubin,Good,1,20,3,35,1,Europe
Poland,Lublin,Good,1,32,1,28,2,Europe
Philippines,Lucena,Good,1,29,0,32,3,Asia
Philippines,Lucena,Good,1,29,0,32,3,Asia
Philippines,Lucena,Good,1,29,0,32,3,Asia
Philippines,Lucena,Good,1,29,0,32,3,Asia
Lesotho,Mafeteng,Unhealthy,4,14,7,117,2,Africa
United States of America,Magnolia,Moderate,1,25,2,56,2,North America
India,Maihar,Unhealthy,1,36,0,171,5,Asia
United States of America,Maitland,Moderate,1,18,14,53,1,North America
United States of America,Maitland,Moderate,1,18,14,53,1,North America
France,Malakoff,Good,1,26,3,40,1,Europe
Benin,Malanville,Good,1,18,1,34,0,Africa
Italy,Malnate,Moderate,1,22,6,69,1,Europe
Democratic Republic of the Congo,Manono,Moderate,2,23,1,74,1,Africa
Venezuela (Bolivarian Republic of),Maracaibo,Unhealthy,1,17,4,118,1,South America
Germany,Hagen,Good,0,30,1,25,3,Europe
France,Halluin,Good,0,28,2,35,2,Europe
Germany,Hamburg,Good,0,28,2,34,1,Europe
Germany,Hamburg,Good,0,28,2,34,1,Europe
United States of America,Hanahan,Moderate,2,35,8,73,3,North America
Bulgaria,Harmanli,Good,1,40,1,24,3,Europe
Pakistan,Harunabad,Unhealthy,1,43,0,443,6,Asia
Germany,Hattingen,Good,0,27,2,28,3,Europe
United States of America,Hauppauge,Moderate,1,27,12,52,2,North America
United States of America,Hayward,Moderate,2,20,20,70,3,North America
Finland,Heinola,Good,0,33,0,5,1,Europe
Japan,Hekinan,Moderate,1,59,1,23,5,Asia
Germany,Hemsbach,Good,0,30,1,24,2,Europe
China,Hengyang,Unhealthy,4,169,3,150,7,Asia
United States of America,Hoboken,Moderate,1,27,11,61,2,North America
United States of America,Hoboken,Moderate,1,27,11,61,2,North America
Somalia,Hobyo,Moderate,0,21,0,58,0,Africa
Solomon Islands,Honiara,Good,0,18,0,6,0,Oceania
Paraguay,Horqueta,Good,0,20,0,20,2,South America
Armenia,Hrazdan,Good,0,31,0,30,0,Asia
China,Hsinchu,Unhealthy,3,138,2,112,18,Asia
Peru,Huaura,Good,1,19,1,39,1,South America
Zimbabwe,Hwange,Good,0,17,0,44,1,Africa
Japan,Ichihara,Moderate,1,74,1,35,11,Asia
India,Khed,Moderate,0,22,0,95,0,Asia
Russian Federation,Khimki,Good,1,30,8,40,2,Europe
Ukraine,Khotyn,Moderate,1,37,1,75,1,Europe
Turkey,Kilis,Moderate,1,41,0,64,7,Asia
United States of America,Killeen,Good,0,21,1,40,0,North America
Austria,Klosterneuburg,Moderate,1,30,3,59,1,Europe
Croatia,Knin,Good,1,48,0,35,1,Europe
Papua New Guinea,Kokopo,Unhealthy,0,22,0,104,9,Oceania
Russian Federation,Kola,Good,1,30,0,10,1,Europe
Russian Federation,Kola,Good,1,30,0,10,1,Europe
Russian Federation,Kotelnikovo,Good,1,39,0,20,0,Europe
